,sex,age,ID
403,F,46.25267464876493,3090490
405,M,46.81492142625818,2131754
410,F,46.22813122573472,446191
411,F,46.536950362598475,921549
413,F,47.82097616728135,880320
420,F,46.25942968937909,3000615
421,F,45.96457102418398,1287953
427,M,46.16091840842568,1143603
429,M,45.93665008084669,2005687
431,F,47.97848206799163,1405886
433,M,46.13378544436128,2486522
434,F,46.027618341913055,2043098
435,M,45.93833884100023,1748241
437,M,46.22981998588826,1863856
446,F,46.56487130593577,514353
447,F,45.976842735699094,2715533
451,M,46.52726819211756,2824392
453,M,46.435849540610874,789875
455,F,45.924378369331585,1937628
456,F,48.482972595441225,3042911
458,F,46.02041291085857,2251919
461,M,46.37111346272826,2587648
463,M,45.96288226403045,2275885
465,F,46.095731940102745,1820693
466,M,46.07456603737961,193645
468,M,47.48288491575933,277027
469,M,45.93665008084669,3049641
471,M,46.315271576053675,1506989
473,M,46.37111346272826,2367322
477,M,48.21490930547796,3073682
482,M,45.934961320693155,2013912
487,M,46.00814119934346,2344789
488,F,46.018724150705026,83144
493,M,45.97853149585263,1996697
494,F,46.06398308601805,453812
498,M,46.76031790929681,76601
503,M,46.21754827437315,2486957
504,F,46.077943557686694,204042
506,F,46.001386158729304,360365
508,M,47.62980786510804,2535014
511,F,46.20358780270451,844031
512,F,45.98022025600617,3027816
514,M,47.07634247721505,1343014
516,M,46.0902152692018,2726909
518,M,46.563182545782226,2955983
519,M,46.14436839572284,1952129
520,M,47.06834906688768,249661
523,F,46.21754827437315,2443826
526,F,45.92268960917804,577123
528,M,46.22981998588826,3091859
529,F,46.09190402935534,1229954
530,M,46.077943557686694,3041392
531,M,45.992491967521275,2335987
534,M,46.578831777604414,2191402
537,M,46.06398308601805,2262878
538,M,45.98022025600617,1057890
540,M,46.146057155876385,2291499
541,M,46.503963138800565,1070665
545,F,47.17113864902882,2605551
546,M,45.966259784337524,1832195
547,M,46.36942470257472,2518122
554,M,46.684210900779746,2237257
555,F,46.6157597137575,51181
557,F,46.147745916029926,1412421
559,M,45.91041789766294,1736411
568,M,46.07625479753315,1533114
570,F,45.95229931266888,1556816
572,M,45.92268960917804,2082232
575,M,46.646945375794104,1018705
578,M,46.11813621253909,1462643
579,F,47.454963972422036,2077021
583,M,45.924378369331585,794566
585,M,45.976842735699094,1796344
586,M,46.74466867747462,2122405
588,F,46.00814119934346,1776431
589,M,45.959504743723365,1061557
591,F,46.214170754066075,2285193
598,M,45.992491967521275,1029669
600,M,46.03099586222014,1375016
601,F,46.46084335408141,1901026
604,M,45.91041789766294,1957651
607,F,46.09190402935534,1518263
609,F,46.71168145367671,1830853
612,F,45.93833884100023,2147488
613,M,46.436299931051195,3054530
614,F,45.908729137509404,1395137
616,F,46.27001264074066,1430501
617,F,45.96457102418398,1533609
618,M,46.23027037632858,2213447
620,F,46.24378045755691,786593
621,M,46.842391979155146,1078792
622,M,46.0500226143494,1683834
625,M,46.04833385419586,3104713
626,F,46.00814119934346,774960
627,M,46.069499756918994,1369653
629,F,45.99418072767482,1595828
630,M,46.10079822056336,1793813
632,M,45.950610552515336,729138
634,F,47.00654011887182,524837
639,M,45.92268960917804,1779200
641,F,47.25951736906099,277384
642,F,46.20189904255097,2511903
645,M,46.458817005095305,2849762
647,F,46.357152991059614,102075
649,M,46.172289339060136,1153914
650,M,46.05891680555743,192792
651,M,46.38000765393629,2864219
653,F,46.38507393439691,1847518
654,F,48.12889452326445,2320362
657,F,46.06398308601805,1352187
660,F,46.79972258487632,2162239
662,M,45.91041789766294,2266161
668,M,46.00645243918992,1165677
671,M,46.39903440606555,258898
675,F,46.8704257241002,2927253
677,F,46.0500226143494,1785534
678,M,45.924378369331585,1169757
681,F,46.29117854346379,2383295
689,F,45.99418072767482,2021215
690,M,46.117348233266206,372338
693,M,46.649534916828294,2766900
695,M,46.02592958175951,720907
697,F,46.257740929225555,444214
698,F,45.908729137509404,2769854
702,F,47.776618012848985,49549
704,M,46.25988007981942,2843089
705,F,46.11982497269263,771356
706,M,46.01703539055149,2440348
708,M,46.10586450102399,2966534
712,F,46.45487629274014,2295542
713,F,46.036062142680755,265646
716,M,46.45487629274014,1847939
719,F,46.102486980716904,1169811
720,M,45.95229931266888,2388160
721,F,46.07287727722608,295654
722,M,46.147745916029926,1512046
725,M,46.04833385419586,619125
732,F,46.17566685936722,2608559
733,F,47.01881183038692,204009
735,M,45.992491967521275,383319
736,F,46.113520322518795,431093
739,M,46.376630133629206,542972
740,M,46.37111346272826,2738243
748,F,46.00814119934346,2784859
749,M,45.99080320736774,1132495
754,M,46.65291243713538,1784690
756,M,46.17397809921368,1086308
757,M,46.02210167101211,304958
758,M,45.98022025600617,1584811
761,F,46.147745916029926,2720561
762,F,46.76718575151874,2246850
763,M,46.1537129773712,1731385
764,F,46.00645243918992,1318784
765,F,46.80445127650438,2898869
766,M,46.044956333888784,1948624
767,F,45.96288226403045,241899
772,M,45.934961320693155,2076965
774,M,45.95229931266888,430956
777,M,46.08346022858764,2610702
778,M,45.92268960917804,1873908
782,F,46.440127841798606,1322902
783,M,46.06229432586451,370121
789,F,47.43008296055926,775408
792,M,46.53233447257818,834291
796,F,45.99080320736774,2381330
799,M,46.61733567230327,850771
800,M,46.25098588861139,248450
803,F,45.89645742599429,310573
804,M,46.06398308601805,452070
805,F,45.91041789766294,583028
806,F,46.018724150705026,1849174
809,M,46.088976899488586,90952
812,M,46.25267464876493,2375736
815,M,46.561493785628684,2067996
816,M,46.13209668420774,2076341
820,F,45.985736926907116,2202768
822,F,46.036062142680755,2589463
824,M,45.924378369331585,992197
830,M,45.95229931266888,2432499
833,F,46.357152991059614,2717875
834,M,45.91041789766294,1468422
838,M,46.0500226143494,1997374
839,F,46.16170638769857,423994
840,F,46.080533098720885,1612121
842,M,46.10586450102399,10964
846,M,46.08852650904826,798391
847,M,46.50734065910764,271309
849,M,45.934961320693155,86306
853,M,45.99969739857576,229741
858,M,46.34319251939097,2952180
859,F,46.00814119934346,2429020
861,F,46.15495134708441,2053626
864,F,46.468836764408785,2612025
870,M,46.39734564591201,2161858
871,F,46.385524324837235,883575
873,F,45.99418072767482,2050640
874,F,46.46714800425524,2626923
875,M,46.00814119934346,2659580
876,M,45.934961320693155,683113
879,M,46.65628995744245,1281786
882,M,45.98742568706066,1883427
883,M,46.07456603737961,2436266
884,M,46.0500226143494,1294530
887,M,45.924378369331585,3067175
890,M,46.37111346272826,5331
894,F,46.11813621253909,2085177
896,F,47.96654794530908,380204
899,M,46.11982497269263,1207501
900,M,46.3961072761988,1832616
902,M,45.92268960917804,1867270
903,F,46.04833385419586,2279350
904,F,46.15664010723795,230934
909,M,45.91041789766294,2553464
912,M,46.22644246558118,2237142
913,F,46.58265968835182,214178
914,F,46.09190402935534,340731
916,M,46.21799866481348,2870946
920,F,45.924378369331585,1594435
923,F,45.92268960917804,1440893
924,M,45.91041789766294,2171902
925,M,46.07456603737961,279483
926,F,46.2315087460418,339188
927,M,46.28104598254255,2380628
928,M,46.273390161047736,892193
929,M,46.00814119934346,1230236
930,F,48.29022833472214,782335
932,M,46.32754328756878,2817623
934,M,46.02210167101211,43435
935,M,46.25267464876493,3083226
938,M,46.09190402935534,2334391
940,M,46.07625479753315,1262252
945,M,46.07456603737961,2989831
946,F,46.39903440606555,569233
947,F,46.02592958175951,1837579
949,F,45.97853149585263,1133814
951,F,45.966259784337524,1686765
952,M,46.02210167101211,1896271
958,F,45.961193503876906,499240
965,M,46.56487130593577,1148175
967,F,45.95229931266888,1424316
968,M,46.14313002600963,1589893
969,M,45.97853149585263,2619335
980,M,46.20358780270451,1467406
985,M,46.383385174243365,2302231
989,M,46.02041291085857,214542
990,F,45.93833884100023,2790793
993,M,46.86828657350634,2619010
994,M,45.98022025600617,2186294
997,M,45.93833884100023,2381306
999,M,46.036062142680755,2522790
1002,M,45.91041789766294,846605
1015,M,46.23364789663567,2100923
1016,M,46.855564471550906,2847916
1017,M,46.08346022858764,831781
1018,F,46.13378544436128,136565
1022,F,46.0500226143494,2587650
1023,F,45.92268960917804,2711830
1025,M,45.924378369331585,1590602
1026,F,46.13378544436128,1371716
1027,F,46.4129948777342,2432698
1029,F,45.924378369331585,1919010
1033,F,46.00814119934346,272912
1037,M,46.394418516045256,2840649
1038,M,46.00814119934346,264434
1039,M,46.06398308601805,1440340
1041,F,46.24546921771044,3018653
1042,F,45.966259784337524,2166932
1046,M,46.05891680555743,1225807
1049,F,46.11982497269263,181663
1050,M,46.486625146824835,112576
1051,M,45.95229931266888,2067861
1052,M,46.09190402935534,1116490
1053,M,46.29962234423149,2658050
1055,F,46.029307102066596,981648
1057,F,46.13378544436128,3076113
1062,F,46.11813621253909,2957135
1065,F,46.978619175534526,2558007
1066,F,45.992491967521275,1824175
1071,F,46.28735063271638,281198
1072,F,46.34319251939097,346315
1073,F,46.00814119934346,2557132
1074,M,46.22981998588826,945862
1078,F,46.748046197781704,391582
1081,M,45.996319878268686,436124
1082,F,46.33396073935038,2656699
1085,M,46.02210167101211,2269466
1089,M,46.018724150705026,2253500
1093,M,46.018724150705026,2295117
1101,F,46.21124362419932,440350
1103,F,46.147745916029926,2771250
1105,M,46.70278726246869,2639728
1106,F,47.29002785343248,2829858
1107,M,45.966259784337524,1319545
1110,F,46.315271576053675,1567845
1114,F,46.11982497269263,2967440
1116,F,48.14792127539372,602167
1117,M,46.25942968937909,1161025
1119,M,46.3072781657263,637879
1120,M,47.02601726144141,1944522
1123,M,46.06398308601805,1160488
1124,M,45.966259784337524,1539787
1126,M,45.91041789766294,1585432
1131,F,46.10586450102399,2169774
1132,M,46.48279723607743,368296
1133,F,45.91041789766294,2874740
1136,M,45.91041789766294,371968
1142,M,45.985736926907116,2032119
1143,F,46.00476367903638,1685883
1151,M,49.04015309247385,1310599
1153,M,46.13378544436128,341913
1156,M,46.38518673600467,321631
1157,F,50.29772192674818,2996765
1159,F,45.91041789766294,1786500
1161,F,46.13378544436128,2019649
1163,F,45.966259784337524,2268613
1165,M,45.93833884100023,2685758
1166,F,46.56656006608931,2315040
1167,F,45.924378369331585,1194813
1169,M,45.966259784337524,561148
1170,F,46.04833385419586,637908
1172,M,46.39903440606555,2437826
1174,F,45.924378369331585,2399379
1175,M,47.06575952585349,2398791
1176,M,45.95229931266888,2844538
1177,F,46.70323765290901,31590
1179,M,45.96457102418398,2748487
1180,F,45.966259784337524,1772498
1181,F,46.44812125212598,2935691
1185,F,46.20189904255097,200150
1186,M,46.036062142680755,399397
1193,F,46.00814119934346,793286
1196,F,46.14436839572284,1186924
1199,M,47.5776810875731,1362850
1201,F,46.06229432586451,3010564
1208,F,46.0500226143494,1352863
1210,M,46.00476367903638,3087517
1211,M,45.992491967521275,276332
1213,F,46.02041291085857,903114
1215,M,46.2315087460418,1619175
1217,F,46.65752832715567,237170
1220,F,48.151186810083765,193255
1221,M,46.536950362598475,611743
1222,M,47.339565089933224,1511418
1226,M,46.607653501822355,2047121
1228,F,46.11475869223201,518606
1229,F,45.97346521539201,1915136
1230,M,46.00476367903638,1797488
1232,M,45.95229931266888,2214181
1233,F,46.76290745033101,296332
1234,F,45.93833884100023,2502625
1235,M,46.07287727722608,2072442
1236,M,46.18715059160944,2171831
1237,M,46.4045510769665,1659206
1246,M,45.93833884100023,1655964
1250,F,46.147745916029926,349999
1253,M,47.42118876935123,3032048
1255,M,46.39903440606555,2191684
1256,M,46.11813621253909,1775297
1261,F,47.809605236646895,683304
1264,M,46.139302115262225,2506697
1265,M,46.04664509404232,1714030
1267,M,45.95229931266888,1428322
1271,F,46.418511548635145,667834
1277,M,45.99418072767482,548814
1281,M,46.06398308601805,885256
1282,M,45.91041789766294,1582613
1283,M,46.92615480916702,1740613
1286,F,47.193993311905494,278880
1293,F,47.82818159833584,1751470
1294,M,46.94270482186986,1780894
1297,M,46.35377547075254,1519669
1299,F,46.32754328756878,291715
1301,F,46.0500226143494,2363424
1302,M,46.003074918882845,2841086
1303,F,46.315271576053675,2364152
1304,F,45.95229931266888,1297003
1305,F,46.06229432586451,1118426
1306,M,46.350397950445455,1725979
1310,M,46.750185348375574,2266506
1311,F,46.22903200661537,2616960
1314,M,45.93833884100023,406543
1317,M,45.93665008084669,2678794
1322,F,46.425266589249304,1742799
1323,F,46.02210167101211,2084954
1324,M,46.42188906894223,1288781
1327,M,47.39067828497975,267498
1329,M,46.196832762090345,3106456
1330,F,46.17397809921368,547654
1331,F,46.147745916029926,508656
1332,M,46.02041291085857,2325155
1333,F,45.966259784337524,2918624
1334,F,45.99418072767482,1375089
1337,F,46.13378544436128,957676
1339,F,46.22981998588826,52329
1340,M,46.16722305859952,1920362
1341,M,45.924378369331585,2149386
1344,F,45.99418072767482,1164722
1345,M,49.30179974664625,1545099
1357,F,46.07163890751286,226141
1358,M,45.93833884100023,1709713
1359,F,46.704476022622224,1668196
1360,M,46.20910447360546,2738477
1361,M,46.13592459495514,580338
1362,F,46.10586450102399,1270659
1364,M,46.036062142680755,689798
1365,M,45.91041789766294,652697
1369,F,46.122414513726824,280820
1372,M,45.9489217923618,2013030
1377,F,45.94723303220826,1506777
1381,M,46.159229648272145,2281173
1382,M,46.25942968937909,1443118
1383,M,46.02041291085857,145191
1385,M,45.93833884100023,1204471
1391,F,46.189627331035865,2129554
1393,F,46.0500226143494,655287
1395,M,46.003074918882845,826836
1399,M,46.00814119934346,1569607
1406,F,45.94723303220826,1734559
1408,M,46.43753830076441,253678
1414,M,46.17397809921368,1666165
1416,M,46.09190402935534,2518309
1417,F,46.11982497269263,2365468
1419,M,45.992491967521275,1722866
1424,F,46.315271576053675,1759969
1425,M,46.11982497269263,428532
1432,M,45.91041789766294,108613
1434,M,46.147745916029926,225408
1436,M,46.42357782909576,2352135
1437,F,46.78655009248056,1243540
1440,F,46.59279224927306,995581
1441,M,46.4531875325866,1323198
1447,F,46.02210167101211,3061695
1449,M,46.553049984860984,1607871
1455,M,46.13378544436128,873447
1457,M,46.147745916029926,3069964
1459,F,45.93833884100023,2136511
1460,M,46.077943557686694,2335164
1461,M,45.961193503876906,1380885
1462,M,48.7881894247731,620771
1463,F,46.08852650904826,1928722
1464,F,45.934961320693155,784332
1466,M,46.036062142680755,2787186
1468,M,46.06398308601805,2779579
1469,M,45.976842735699094,1311474
1470,F,46.077943557686694,2638693
1471,F,46.02041291085857,1757307
1473,M,45.97853149585263,1100891
1476,F,45.93665008084669,1947289
1481,M,46.59110348911952,413684
1484,M,45.98022025600617,2440396
1486,M,45.9489217923618,1655153
1488,F,46.16001762754503,792371
1489,M,49.28513693233565,3096557
1490,M,47.2820344431051,113202
1494,M,45.91041789766294,2866899
1497,F,46.60168644048108,323946
1503,M,45.99418072767482,1184843
1504,M,45.976842735699094,1728797
1505,M,45.93327256053961,485682
1506,F,46.444743731818896,1286503
1507,M,46.29962234423149,435846
1508,M,46.00814119934346,2561661
1509,F,46.036062142680755,1118174
1511,F,45.99418072767482,2894000
1513,F,45.91041789766294,2908570
1514,M,45.908729137509404,2947246
1515,M,45.93833884100023,171000
1519,M,45.950610552515336,596795
1520,M,46.102486980716904,1231492
1522,M,46.25098588861139,326193
1524,F,47.563383027071886,2735482
1526,F,45.98022025600617,575562
1527,F,46.451498772433055,2722387
1530,F,46.0902152692018,2113009
1531,F,45.99418072767482,2421659
1533,M,45.908729137509404,1565401
1534,F,45.966259784337524,1792336
1543,M,46.147745916029926,2698076
1546,M,46.106314891464315,432839
1548,M,45.92268960917804,859679
1549,F,45.99418072767482,2150560
1551,F,47.58319775847404,437793
1555,F,45.98022025600617,2051036
1557,F,46.28735063271638,638157
1559,M,46.283973112409306,61565
1560,M,46.300072734671815,2808511
1563,F,47.57047565651861,20370
1564,M,46.52298989092983,1618320
1565,F,46.0902152692018,2703909
1570,M,45.924378369331585,2088049
1576,M,46.93549939081537,1930297
1577,M,47.10685296158653,3044095
1580,F,46.036062142680755,2790165
1584,M,46.1828722904217,2030443
1591,F,48.023965790529445,468103
1592,F,46.09190402935534,2525917
1593,F,46.78193420246027,1005890
1596,M,46.82505398717942,2942375
1597,F,45.97853149585263,1660754
1601,M,45.99418072767482,1828980
1605,F,45.91041789766294,2102684
1607,M,49.442305244213365,2859500
1611,M,46.00814119934346,1589775
1612,F,46.273390161047736,599032
1613,F,46.616097302590056,1728375
1616,F,45.93665008084669,448754
1617,M,46.06229432586451,1405862
1618,F,46.88776371607593,2990648
1620,M,46.13209668420774,869021
1621,M,45.966259784337524,2605731
1622,F,46.08852650904826,2766770
1623,F,46.11982497269263,1180196
1629,M,46.59324263971338,3081530
1635,M,47.25749102007489,9326
1636,M,46.06398308601805,2115139
1637,F,46.686350051373616,278953
1638,M,47.67326523865975,3024919
1641,F,46.018724150705026,390192
1642,F,46.24546921771044,1387825
1643,F,45.99080320736774,1273415
1644,F,46.189627331035865,2296350
1645,F,46.954075752504316,794810
1650,F,46.097420700256286,2931314
1653,M,45.976842735699094,1685527
1656,M,45.98022025600617,1367158
1658,F,46.034373382527214,357075
1659,F,46.09190402935534,639894
1664,M,47.43728839161375,2822485
1669,F,46.00645243918992,2148835
1672,F,50.355590162408866,2111554
1678,M,46.16170638769857,29392
1690,M,46.633885685006106,803582
1696,M,45.924378369331585,953273
1699,M,46.189627331035865,2205153
1704,M,45.924378369331585,3064862
1707,F,45.98022025600617,1081345
1709,M,46.14436839572284,736507
1714,M,46.00814119934346,2579546
1715,M,45.91041789766294,1846059
1716,F,46.02210167101211,811313
1719,F,45.93833884100023,1945181
1720,M,46.02210167101211,1245659
1724,F,46.89823386582973,1435394
1727,M,46.11813621253909,2934869
1728,F,45.992491967521275,1474226
1730,F,46.25436340891847,1178581
1731,F,46.50902941926118,405412
1733,M,45.966259784337524,1728058
1737,F,46.10586450102399,790893
1742,F,46.80051056414921,2262772
1745,M,46.28611226300317,2187601
1747,M,46.16891181875305,1170580
1749,M,45.992491967521275,2396744
1750,M,46.00814119934346,2809532
1753,M,45.95229931266888,455620
1755,F,46.17397809921368,2912225
1758,M,47.44269226090693,156114
1760,F,45.924378369331585,408110
1763,M,46.137613355108684,648836
1765,M,46.02041291085857,1052497
1766,M,46.02210167101211,1571735
1768,F,47.436050021900535,2881382
1771,M,46.09190402935534,1664309
1774,F,46.03268462237367,145227
1777,M,46.17566685936722,100610
1780,F,45.93833884100023,2483107
1784,M,45.91041789766294,2311052
1788,F,45.97853149585263,644215
1791,M,45.93327256053961,2712872
1792,F,46.25436340891847,909407
1793,M,46.38507393439691,2859135
1796,F,46.036062142680755,2025673
1798,F,46.23027037632858,2027421
1799,M,46.273390161047736,714075
1802,F,45.95229931266888,1180686
1804,M,45.97853149585263,1846191
1806,F,46.06398308601805,46123
1808,M,45.992491967521275,2920695
1809,M,46.05553928525035,966279
1810,M,46.43461117089766,790580
1812,M,45.91041789766294,1537786
1814,M,45.91041789766294,1396941
1815,F,46.2315087460418,2489229
1818,M,46.15326258693087,1211973
1819,F,46.28735063271638,2725715
1823,M,45.95229931266888,545233
1824,F,46.036062142680755,2642100
1825,M,46.60990545402399,118636
1827,M,45.95229931266888,1212391
1828,F,46.02210167101211,1990096
1829,F,46.54922207411358,2228879
1830,F,46.0500226143494,2014850
1833,M,45.92268960917804,762832
1835,F,46.21293238435286,544649
1837,F,46.10969241177139,2305041
1843,M,46.20021028239743,247040
1845,M,46.75784116987038,2319688
1847,M,47.979270047264514,321190
1848,F,46.57590464773766,947873
1850,M,46.052161764943264,855835
1854,F,45.961193503876906,611275
1856,F,46.06398308601805,629458
1861,M,45.99418072767482,1664216
1863,M,46.07287727722608,2632388
1864,F,46.034373382527214,1814826
1866,F,45.924378369331585,2846055
1868,M,46.34533166998484,1566494
1872,M,46.2717014008942,2413738
1873,M,46.43416078045733,3010815
1874,F,47.24555689739234,1606535
1877,F,46.341503759237426,11198
1878,M,47.58364814891437,2948375
1880,M,45.91041789766294,512527
1885,M,46.25942968937909,1830206
1886,F,45.924378369331585,81768
1887,M,46.514996480602456,2698560
1891,M,46.7882388526341,280858
1893,F,46.699860132601934,1857795
1894,F,46.72057564488474,484999
1901,F,47.37851937507241,1922007
1902,M,46.04833385419586,2680612
1903,F,46.21844905525381,1803415
1904,M,45.97853149585263,7734
1908,F,46.30131110438503,2125060
1909,F,46.8919292156559,244329
1911,F,46.18456105057524,269718
1919,M,46.28566187256285,679500
1921,M,46.189627331035865,2275794
1922,M,47.187238271291335,3043705
1923,M,46.106314891464315,113506
1926,M,46.029307102066596,2477082
1929,F,46.097420700256286,1172653
1930,M,46.31020529559306,893976
1932,M,46.98368545599515,2502158
1939,M,47.00023546869799,178894
1940,M,46.02210167101211,2283736
1942,M,46.28566187256285,42117
1943,F,46.17949477011462,3091472
1945,F,46.003074918882845,3065633
1947,M,46.50902941926118,234045
1948,F,46.93640017169603,2369664
1949,F,46.0902152692018,1979222
1950,M,52.24430653564829,1625555
1953,M,46.11982497269263,647687
1954,M,47.01543431007985,18582
1958,M,46.43753830076441,1501558
1959,F,45.966259784337524,739490
1971,M,45.95229931266888,902607
1972,F,46.480320496651004,2815970
1979,F,46.036062142680755,727062
1982,M,46.04664509404232,2160403
1983,M,46.0902152692018,641483
1984,F,46.20021028239743,1239893
1987,F,46.25267464876493,2820764
1989,M,46.2315087460418,2046048
1990,F,45.98022025600617,1533034
1997,M,46.20358780270451,393732
1998,F,45.99418072767482,2497087
1999,M,46.17397809921368,838086
2000,M,46.11982497269263,532614
2003,F,46.31020529559306,3090685
2006,F,46.25098588861139,801969
2007,F,45.924378369331585,2438997
2012,F,46.699860132601934,1921061
2013,M,46.13209668420774,496323
2015,M,47.510918660704384,741222
2019,F,46.06781099676545,939516
2020,M,46.42020030878869,724734
2022,F,46.50610228939443,2653032
2026,M,46.10586450102399,197324
2027,F,46.034373382527214,1135907
2028,F,46.20189904255097,1846764
2029,F,46.37111346272826,2708452
2030,F,46.0500226143494,2550697
2031,F,46.23027037632858,377228
2032,M,46.238714177096284,308705
2033,M,46.01196911009087,3003880
2034,M,46.269224661467774,1573287
2035,F,45.97515397554555,2724494
2036,M,46.273390161047736,87707
2041,M,46.027618341913055,1697991
2042,M,45.924378369331585,2084222
2043,F,46.3118940557466,1105094
2044,F,46.03268462237367,2083590
2045,F,45.966259784337524,2000631
2046,M,45.89645742599429,1115150
2049,M,45.99418072767482,1908294
2050,M,46.03482377296754,264057
2051,F,47.315021666903014,2133492
2052,M,45.99418072767482,2036054
2062,F,46.04833385419586,2977927
2063,M,45.97515397554555,1821269
2070,F,46.018724150705026,1405236
2073,F,46.00476367903638,228252
